id,box_completed,dsteps,duplicates,first_move_time,first_push_time,guan_time,num,num_higher_than_sd,optstep,p_optimal,rest_mean,rest_sd,result_flag,same_with_optimal,steps
190107,0,-35,1,11.78008,16.34018,28.22046,11,1,41,0.024390243902439025,0.670015275,1.58257036449,3,1,6
190107,0,-5,3,1.319999,10.08004,26.34041,12,2,34,0.4411764705882353,0.540009580769,0.842273175591,3,15,29
190107,1,-8,0,4.019997,21.16029,36.66065,13,2,36,0.2777777777777778,0.448810288,1.78671497709,3,10,28
190107,0,2,3,3.539997,25.44039,49.48094,14,1,24,0.2916666666666667,0.779184525,3.74929214804,3,7,26
190107,3,12,4,11.42007,36.86065,44.06082,15,1,20,1.05,0.550679236667,2.77382875461,2,21,32
190107,3,2,0,21.16029,22.30032,35.38062,16,1,23,0.13043478260869565,0.426966313043,0.806097733153,1,3,25
190107,1,10,8,25.08038,30.90052,77.59899,17,3,29,0.034482758620689655,0.669726548571,1.98708174344,3,1,39
190107,3,0,0,22.34032,29.04047,46.62088,18,4,34,1.0294117647058822,0.44001007931,0.996647756752,1,35,34
190107,2,4,2,7.539994,26.48042,47.12089,19,3,43,1.0232558139534884,0.438149311628,1.66694368559,2,44,47
190107,1,-16,0,42.80079,45.22084,65.56101,20,1,40,0.05,0.6718336,0.937115141817,3,2,24
190108,0,-31,3,2.739998,2.739998,23.76035,1,2,45,0.022222222222222223,0.734554818182,0.937158362202,3,1,14
190108,0,-2,2,4.079997,6.819994,27.74044,2,2,17,0.17647058823529413,1.22835351667,0.944674373928,3,3,15
190108,3,2,0,5.139996,7.819993,23.48035,3,3,20,1.05,0.687789894444,0.535335690127,2,21,22
190108,0,-7,1,8.560006,13.68012,77.09908,4,2,27,0.1111111111111111,1.29767669412,4.53112258586,3,3,20
190108,1,-6,0,4.319997,15.74017,51.26098,5,4,42,0.40476190476190477,0.634205264516,1.23402103065,3,17,36
190108,1,8,4,20.54028,35.36062,61.08121,6,2,23,0.21739130434782608,0.870734182143,1.61817854466,3,5,31
190108,1,-12,3,8.760011,21.82031,56.2411,7,2,29,0.13793103448275862,0.497154228571,1.76325461604,3,4,17
190108,1,-16,0,30.0805,32.70056,120.0119,8,1,33,0.18181818181818182,0.963922173333,6.47815085155,4,6,17
190108,0,-22,5,7.279994,40.50074,59.18116,9,2,44,0.045454545454545456,1.09476103684,3.74657377164,3,2,22
190108,3,2,0,16.76019,20.90029,80.57849,10,4,46,0.4782608695652174,0.876234269767,1.8213393949,2,22,48
190108,0,-18,0,8.119996,13.96013,39.64072,11,3,41,0.3170731707317073,0.6368567,1.13445770158,3,13,23
